Model,Dialect,Performance,Drop,Harmful flip,Beneficial flip,Prediction flip,n
Qwen2.5 0.5B,PNB,39.6,1.4,2.5,0.8,9.0,400
Qwen2.5 0.5B,PNN,39.4,1.6,4.2,2.8,20.5,400
Qwen2.5 0.5B,PNT1,36.8,4.1,5.8,2.5,21.0,400
Qwen2.5 0.5B,PNT2,33.9,7.1,5.2,1.8,30.5,400
Qwen2.5 0.5B,PNT3,31.8,9.2,7.2,2.0,35.8,400
Qwen2.5 0.5B,PNT4,37.1,3.8,4.5,1.8,25.5,400
Qwen2.5 3B,PNB,66.3,0.5,1.8,1.2,6.2,400
Qwen2.5 3B,PNN,65.4,1.4,4.5,3.5,14.2,400
Qwen2.5 3B,PNT1,64.2,2.6,4.8,2.2,11.5,400
Qwen2.5 3B,PNT2,60.0,6.8,8.0,3.2,23.2,400
Qwen2.5 3B,PNT3,56.4,10.4,12.0,3.2,27.0,400
Qwen2.5 3B,PNT4,62.3,4.5,5.8,2.2,17.0,400
Qwen2.5 7B,PNB,67.5,-0.6,1.2,1.8,5.2,400
Qwen2.5 7B,PNN,64.4,2.6,5.5,3.0,13.2,400
Qwen2.5 7B,PNT1,64.0,2.9,5.2,2.2,11.2,400
Qwen2.5 7B,PNT2,62.7,4.2,8.8,5.5,25.2,400
Qwen2.5 7B,PNT3,61.3,5.6,9.5,6.2,23.5,400
Qwen2.5 7B,PNT4,65.5,1.4,5.2,5.2,16.0,400
Llama 3.1 8B,PNB,65.1,-0.8,1.2,2.2,5.0,400
Llama 3.1 8B,PNN,62.1,2.2,5.5,4.0,14.0,400
Llama 3.1 8B,PNT1,61.6,2.7,5.2,2.2,10.0,400
Llama 3.1 8B,PNT2,58.0,6.3,8.8,3.0,19.2,400
Llama 3.1 8B,PNT3,57.6,6.7,10.0,5.0,23.0,400
Llama 3.1 8B,PNT4,63.0,1.4,4.5,3.2,11.8,400
Mistral 7B,PNB,55.0,-2.2,1.2,3.5,7.5,400
Mistral 7B,PNN,49.0,3.8,7.8,4.0,19.5,400
Mistral 7B,PNT1,52.0,0.8,4.8,4.8,17.8,400
Mistral 7B,PNT2,45.4,7.4,10.0,5.0,32.8,400
Mistral 7B,PNT3,43.4,9.5,13.5,5.5,41.2,400
Mistral 7B,PNT4,49.5,3.3,8.0,6.5,29.0,400
Gemma 2 9B,PNB,73.0,-0.4,0.8,1.0,3.0,400
Gemma 2 9B,PNN,70.7,1.8,3.5,1.5,8.0,400
Gemma 2 9B,PNT1,70.7,1.8,5.0,2.5,8.2,400
Gemma 2 9B,PNT2,68.5,4.0,8.2,4.0,17.2,400
Gemma 2 9B,PNT3,67.3,5.3,8.5,3.5,17.5,400
Gemma 2 9B,PNT4,70.0,2.5,5.2,2.2,10.5,400
Gemma 3 4B,PNB,68.0,-1.3,0.8,2.0,5.5,400
Gemma 3 4B,PNN,66.2,0.4,3.8,3.8,12.5,400
Gemma 3 4B,PNT1,63.5,3.1,6.0,3.5,14.5,400
Gemma 3 4B,PNT2,63.2,3.4,7.0,5.5,22.2,400
Gemma 3 4B,PNT3,62.1,4.5,8.8,5.5,23.5,400
Gemma 3 4B,PNT4,62.9,3.7,6.2,4.2,18.8,400
Vistral 7B,PNB,51.5,-0.2,1.0,1.0,9.2,400
Vistral 7B,PNN,50.0,1.3,2.0,1.5,14.2,400
Vistral 7B,PNT1,50.8,0.5,2.5,2.2,16.0,400
Vistral 7B,PNT2,48.6,2.7,3.2,1.2,20.8,400
Vistral 7B,PNT3,47.9,3.4,3.8,1.5,24.2,400
Vistral 7B,PNT4,49.9,1.4,2.5,2.2,19.5,400
SeaLLM 7B,PNB,62.8,-0.7,0.2,1.0,3.2,400
SeaLLM 7B,PNN,61.1,1.0,4.2,3.2,12.8,400
SeaLLM 7B,PNT1,58.7,3.3,6.0,2.8,12.8,400
SeaLLM 7B,PNT2,58.0,4.0,8.8,5.2,24.5,400
SeaLLM 7B,PNT3,56.9,5.2,10.0,5.8,25.5,400
SeaLLM 7B,PNT4,60.0,2.1,5.8,3.2,16.5,400
GPT-4o,PNB,77.7,0.2,2.5,2.2,6.2,400
GPT-4o,PNN,75.8,2.0,4.8,2.2,9.5,400
GPT-4o,PNT1,77.4,0.4,2.5,2.2,7.8,400
GPT-4o,PNT2,76.6,1.3,5.2,4.2,12.8,400
GPT-4o,PNT3,75.9,1.9,6.5,4.8,15.5,400
GPT-4o,PNT4,77.5,0.3,3.0,3.0,10.0,400
