Task,Variant,Qwen2.5 0.5B,Qwen2.5 3B,Qwen2.5 7B,Llama 3.1 8B,Mistral 7B,Gemma 2 9B,Gemma 3 4B,Vistral 7B,SeaLLM 7B,GPT-4o
MCQA,Standard,0.68,0.92,0.91,0.87,0.73,0.94,0.89,0.88,0.91,0.94
MCQA,PNB,0.63,0.92,0.9,0.87,0.75,0.94,0.9,0.88,0.91,0.94
MCQA,PNN,0.63,0.9,0.89,0.85,0.69,0.95,0.88,0.88,0.88,0.94
MCQA,PNT1,0.57,0.87,0.88,0.81,0.72,0.93,0.88,0.87,0.85,0.94
MCQA,PNT2,0.62,0.87,0.86,0.8,0.7,0.96,0.86,0.85,0.88,0.94
MCQA,PNT3,0.57,0.84,0.86,0.81,0.66,0.92,0.88,0.87,0.9,0.93
MCQA,PNT4,0.61,0.88,0.88,0.85,0.72,0.95,0.87,0.88,0.88,0.94
NLI,Standard,0.33,0.55,0.64,0.48,0.47,0.63,0.55,0.19,0.46,0.74
NLI,PNB,0.33,0.56,0.66,0.48,0.49,0.65,0.57,0.21,0.48,0.76
NLI,PNN,0.33,0.55,0.59,0.41,0.45,0.6,0.56,0.17,0.45,0.69
NLI,PNT1,0.33,0.54,0.6,0.44,0.51,0.62,0.5,0.19,0.44,0.71
NLI,PNT2,0.33,0.56,0.61,0.47,0.48,0.6,0.54,0.18,0.43,0.7
NLI,PNT3,0.33,0.5,0.59,0.45,0.44,0.57,0.45,0.18,0.42,0.69
NLI,PNT4,0.33,0.55,0.62,0.48,0.5,0.62,0.51,0.18,0.47,0.72
QA,Standard,0.38947198860501075,0.6917995090691753,0.7467456057308388,0.7937623822821074,0.542866456444798,0.8412754964683333,0.7957258799497464,0.6620595070935944,0.7427316461158975,0.83242560305416
QA,PNB,0.3949913418008345,0.6803756253249902,0.7318044292602505,0.7856708491013293,0.5596694121098227,0.8284891716820085,0.7987258799497464,0.6504042765311965,0.7418545462043149,0.8463323561027896
QA,PNN,0.3755355636443625,0.6554669370814545,0.714205430729139,0.7851422225376862,0.4615208778971735,0.8295610932620647,0.7979017609089945,0.6207242080960663,0.7243946260294494,0.8413270770680987
QA,PNT1,0.333738082249599,0.6584088084587075,0.7016474247580449,0.7538277565019708,0.4812748206983635,0.8279223218651588,0.7413393130422815,0.6314265580244861,0.6696491547834061,0.8374047884378076
QA,PNT2,0.18704433464998801,0.5914237685906577,0.6871155223565527,0.7510657564982155,0.30548711128688244,0.8202950905450528,0.738052169637158,0.6030374027043354,0.6619522343561721,0.8622134194352931
QA,PNT3,0.17054834507597125,0.5760902668857399,0.6730468089187029,0.7445544509972075,0.34416115321540003,0.8007363583939976,0.7451413571454093,0.5769049233211391,0.6152657795490079,0.8161265628226189
QA,PNT4,0.3257098969104543,0.6027148121668521,0.6802058244292077,0.7693525723754019,0.3707892902329569,0.7998819503499344,0.7175066126522767,0.6055242862518483,0.680611614763791,0.8219481426920248
Sent.,Standard,0.24,0.51,0.38,0.43,0.37,0.49,0.43,0.32,0.37,0.6
Sent.,PNB,0.23,0.49,0.41,0.47,0.4,0.5,0.45,0.32,0.38,0.56
Sent.,PNN,0.24,0.51,0.38,0.44,0.36,0.45,0.41,0.33,0.39,0.56
Sent.,PNT1,0.24,0.5,0.38,0.46,0.37,0.45,0.42,0.34,0.39,0.61
Sent.,PNT2,0.22,0.38,0.35,0.3,0.33,0.36,0.39,0.31,0.35,0.56
Sent.,PNT3,0.2,0.34,0.33,0.3,0.29,0.4,0.41,0.29,0.34,0.6
Sent.,PNT4,0.22,0.46,0.44,0.42,0.39,0.43,0.42,0.33,0.37,0.62
