Model,Setting,MCQA Standard,MCQA Dialect,MCQA Delta,NLI Standard,NLI Dialect,NLI Delta,QA Standard,QA Dialect,QA Delta,Sentiment Standard,Sentiment Dialect,Sentiment Delta,All Standard,All Dialect,All Delta
Qwen2.5 0.5B,Direct,0.68,0.605,0.075,0.33,0.33,0.0,0.38947198860501075,0.29792792738853496,0.09154406121647579,0.24,0.225,0.015,0.40986799715125266,0.3644819818471337,0.04538601530411895
Qwen2.5 3B,Direct,0.92,0.88,0.04,0.55,0.5433333333333333,0.006666666666666667,0.6917995090691753,0.6274133697514003,0.0643861393177749,0.51,0.44666666666666666,0.06333333333333334,0.6679498772672938,0.6243533424378501,0.04359653482944373
Qwen2.5 7B,Direct,0.91,0.8783333333333333,0.03166666666666667,0.64,0.6116666666666667,0.028333333333333332,0.7467456057308388,0.6980042400753164,0.04874136565552247,0.38,0.38166666666666665,-0.0016666666666666668,0.6691864014327097,0.6424177266854957,0.026768674747213953
Llama 3.1 8B,Direct,0.87,0.8316666666666667,0.03833333333333333,0.48,0.455,0.025,0.7937623822821074,0.7649356013353018,0.02882678094680553,0.43,0.3983333333333333,0.03166666666666667,0.6434405955705268,0.6124839003338255,0.03095669523670138
Mistral 7B,Direct,0.73,0.7066666666666667,0.023333333333333334,0.47,0.47833333333333333,-0.008333333333333333,0.5428664564447981,0.4204837775734332,0.12238267887136488,0.37,0.3566666666666667,0.013333333333333334,0.5282166141111996,0.49053761106002497,0.03767900305117455
Gemma 2 9B,Direct,0.94,0.9416666666666667,-0.0016666666666666668,0.63,0.61,0.02,0.8412754964683333,0.8178143310163695,0.023461165451963858,0.49,0.43166666666666664,0.058333333333333334,0.7253188741170833,0.7002869160874257,0.02503195802965763
Gemma 3 4B,Direct,0.89,0.8783333333333333,0.011666666666666667,0.55,0.5216666666666666,0.028333333333333332,0.7957258799497463,0.7564445155559777,0.03928136439376861,0.43,0.4166666666666667,0.013333333333333334,0.6664314699874366,0.6432777955556611,0.023153674431775486
Vistral 7B,Direct,0.88,0.8716666666666667,0.008333333333333333,0.19,0.185,0.005,0.6620595070935945,0.614670275821512,0.04738923127208249,0.32,0.32,0.0,0.5130148767733986,0.4978342356220446,0.015180641151353955
SeaLLM 7B,Direct,0.91,0.8833333333333333,0.02666666666666667,0.46,0.4483333333333333,0.011666666666666667,0.7427316461158975,0.6822879926143569,0.06044365350154058,0.37,0.37,0.0,0.6206829115289744,0.5959886648202558,0.02469424670871848
GPT-4o,Direct,0.94,0.9383333333333334,0.0016666666666666668,0.74,0.7116666666666667,0.028333333333333332,0.83242560305416,0.8375587244264389,-0.005133121372278727,0.6,0.585,0.015,0.77810640076354,0.7681396811066098,0.009966719656930318
